,city,price
0,北京,56223
1,深圳,50928
2,上海,50866
3,厦门,45076
4,三亚,32072
5,广州,29909
6,南京,27159
7,福州,25953
8,天津,22592
9,杭州,20787
10,青岛,20366
11,义乌,20258
12,珠海,20078
13,宁波,20058
14,温州,18977
15,金华,17515
16,武汉,17410
17,济南,17251
18,舟山,16895
19,石家庄,16697
20,苏州,15996
21,海口,15431
22,东莞,15259
23,廊坊,15007
24,合肥,14433
25,绍兴,14160
26,成都,13895
27,莆田,13857
28,常州,13354
29,昆山,13142
30,台州,13061
31,漳州,12992
32,衢州,12820
33,郑州,12763
34,扬州,12315
35,西安,12244
36,南昌,12109
37,中山,12085
38,保定,12022
39,南通,11920
40,太原,11847
41,西双版纳,11728
42,龙岩,11679
43,湖州,11526
44,昆明,11333
45,大理,11253
46,大连,11234
47,嘉兴,11182
48,长沙,10992
49,宁德,10987
50,顺德,10909
51,芜湖,10902
52,章丘,10793
53,泉州,10758
54,兰州,10629
55,无锡,10556
56,拉萨,10516
57,烟台,10392
58,惠州,10378
59,佛山,10310
60,泰州,10205
61,南宁,10146
62,威海,10045
63,泰安,10027
64,黄山,10023
65,张家口,10015
66,聊城,10000
67,徐州,10000
68,贵阳,9871
69,丽水,9734
70,承德,9380
71,邯郸,9357
72,呼和浩特,9347
73,凉山,9307
74,镇江,9302
75,沧州,9247
76,盐城,9204
77,哈尔滨,9204
78,宜昌,9072
79,汕头,9066
80,阜阳,9012
81,巢湖,8772
82,淮安,8772
83,襄阳,8763
84,日照,8757
85,秦皇岛,8740
86,赣州,8715
87,赤峰,8636
88,沈阳,8586
89,宣城,8570
90,池州,8559
91,铜陵,8516
92,长春,8515
93,潮州,8487
94,柳州,8454
95,连云港,8391
96,上饶,8313
97,淄博,8171
98,吉安,8150
99,邢台,8139
100,南平,8121
101,安庆,8084
102,绵阳,8066
103,梅州,7951
104,抚州,7937
105,衡水,7887
106,唐山,7878
107,六安,7861
108,遂宁,7852
109,乌鲁木齐,7837
110,三明,7799
111,宿迁,7789
112,滨州,7762
113,沭阳,7750
114,德州,7737
115,资阳,7648
116,肇庆,7638
117,重庆,7607
118,宜宾,7494
119,岳阳,7468
120,玉溪,7391
121,茂名,7391
122,济宁,7269
123,江门,7239
124,莱芜,7219
125,洛阳,7163
126,九江,7161
127,南充,7146
128,咸阳,7069
129,湛江,7059
130,黄石,7052
131,泸州,7037
132,包头,7029
133,汕尾,7017
134,西宁,6996
135,张家界,6979
136,常德,6972
137,达州,6967
138,蚌埠,6904
139,晋中,6900
140,清远,6891
141,晋城,6874
142,宜春,6873
143,东营,6855
144,揭阳,6834
145,自贡,6813
146,北海,6792
147,定州,6752
148,保山,6746
149,台山,6742
150,长治,6738
151,濮阳,6733
152,驻马店,6696
153,益阳,6619
154,河源,6615
155,庆阳,6605
156,菏泽,6584
157,马鞍山,6568
158,许昌,6523
159,新乡,6520
160,景德镇,6513
161,荆州,6511
162,鹤壁,6493
163,潍坊,6485
164,桂林,6467
165,德阳,6456
166,开封,6449
167,信阳,6427
168,通辽,6359
169,滁州,6352
170,淮北,6349
171,内江,6320
172,贺州,6298
173,榆林,6276
174,遵义,6256
175,丹东,6254
176,吉林,6201
177,丽江,6149
178,阳江,6143
179,平凉,6137
180,株洲,6137
181,仙桃,6065
182,南阳,6061
183,乐山,6047
184,贵港,6020
185,防城港,6009
186,潜江,5954
187,亳州,5939
188,鄂尔多斯,5931
189,宿州,5904
190,济源,5903
191,广安,5883
192,淮南,5819
193,恩施,5805
194,葫芦岛,5801
195,巴彦淖尔市,5783
196,永州,5781
197,郴州,5772
198,孝感,5764
199,广元,5746
200,商丘,5721
201,黄冈,5718
202,安阳,5672
203,十堰,5648
204,石河子,5644
205,临沂,5592
206,枣庄,5590
207,渭南,5566
208,韶关,5563
209,随州,5562
210,昭通,5562
211,阳春,5508
212,武威,5463
213,玉林,5461
214,普洱,5419
215,怀化,5415
216,平顶山,5394
217,鄂州,5383
218,齐齐哈尔,5380
219,衡阳,5379
220,眉山,5369
221,临汾,5337
222,湘潭,5337
223,忻州,5332
224,延边,5241
225,昌吉,5212
226,锦州,5212
227,酒泉,5196
228,白城,5157
229,大庆,5146
230,焦作,5125
231,三门峡,5073
232,新余,5060
233,牡丹江,5011
234,银川,4999
235,漯河,4986
236,营口,4955
237,四平,4952
238,邵阳,4925
239,白银,4904
240,通化,4897
241,娄底,4895
242,定西,4894
243,荆门,4893
244,朝阳,4826
245,大同,4804
246,海拉尔,4775
247,宝鸡,4770
248,克拉玛依,4754
249,湘西,4750
250,延安,4741
251,萍乡,4730
252,抚顺,4691
253,乌海,4684
254,兴安盟,4678
255,辽阳,4663
256,汉中,4644
257,楚雄,4639
258,攀枝花,4615
259,梧州,4606
260,松原,4563
261,周口,4514
262,运城,4481
263,文山,4481
264,安康,4406
265,鞍山,4386
266,锡林郭勒盟,4380
267,巴中,4316
268,佳木斯,4299
269,曲靖,4281
270,中卫,4238
271,咸宁,4182
272,辽源,4168
273,白山,4148
274,红河,4115
275,铁岭,4114
276,六盘水,4101
277,呼伦贝尔,4049
278,盘锦,4025
279,阿克苏,3932
280,绥化,3918
281,喀什,3889
282,阜新,3798
283,钦州,3790
284,哈密,3707
285,巴音郭楞,3632
286,朔州,3545
287,鸡西,3454
288,石嘴山,2976
289,天水,816
